resilientSolutionsID;Name;Description;references
SHTK5;DEEJAM;Jamming is a very effective denial-of-service attack that renders most higher-layer secunty mechanisms mootyet it is often ignored in WSN design. The [p19] showed that an intemupt jamming attack is simple to perpetrate in software using a MICAzmote, is energy efficient and stealthy for the jammer, and completely disrupts communication. Thus, [p19] presented DEEJAM, a novel MAC-layer protocol for defeating stealthy jammers with IEEE 802.15.4-based hardware, to address this problematic area. It layers four defensivemechanisms to hide communication from a jammer, evade its search, and reduce its impact. DEEJAM defeated the other-wise devastating intemupt jammer, and achieves a packet delivery ratio of 88% in the presence ofa pulse jammer. More details in [p19];P19
SHTK6;Puzzle Schemes;Denial-of-service (DoS) attacks are on the ise in recent years and many cryptographic cient puzzle schemes have been proposed for mitigating such attacks. Nonetheless, these schemes lack a strategy for setting the puzzle difficulty parameter which is an important issue for the legitimate users as they should not be unfairly delayed during low server loads. The [p32]. proposed a leaky bucket rate limiting queue mechanism to set the puzzle difficulty according to a queue delay. This mechanism will rate limit the number of incoming requests to prevent server overloading. As a result, DoS attackers have to spend more time to solve harder puzzles which reduces their rate of attack success. More details in [p32];P32
FRTK1;MultipathRouting;Active replication in WSN is applied in scenarios where many nodes provide the identical functionality. One example is.a service that periodically provides sensor data. Nodes that run such service activate their sensors and send their analysis to an aggregation service or to a base station. When some of the nodes fail to offer infomation, the receiver still gets the results from other nodes, which is often sufficient. Fault recovery in the presence of active replicas is relatively simple. Multipath routing is Active replication approach. Multipath routing can be used to actively replicate routing paths. In [p93] was proposed an algorithm that calculates the minimum amount of additional nodes and their positions to guarantee k-connectivity between nodes that can be used in IoT application.;P61,P93
FRTK2;Sensor Value Aggregation;Active replication in WSN is applied in scenarios where many nodes provide the identical functionality. One example is a service that periodically provides sensor data. Nodes that run such service activate their sensors and send their analysis to an aggregation service or to a base station. When some of the nodes fail to offer infomation, the receiver still gets the results from other nodes, which is often sufficient. Fault recovery in the presence of active replicas is relatively simple. Sensor value aggregation is Active replication approach. Sensor value fusion is a research area that seeks to provide high level infomation derived from a number of low-level sensor inputs. There, the inherent redundancy of sensor nodes can be used to provide fault-tolerant data aggregation. This is achieved through a tradeoff between the precision (the length) of the resulting sensor reading interval and the number of faulty sensors. This ensures that despite of node failures, the resulting reading interval will contain the comect sensor reading of aregion;P61
FRTK3;Ignore Values from Faulty Nodes;Active replication in \wSNis applied in scenarios where many nodes provide the identical functionality. One example is aservice that periodically provides sensor data. Nodes that run such service activate their sensors and send their analysis to an aggregation service or to a base station. When some of the nodes fail to offer information, the receiver still gets the results from other nodes, which is often sufficient. Fault recovery in the presence of active replicas is relatively simple. Ignore values from faulty nodes is Active replication approach. A simple but efficient solution to not propagate a failure of one specific node to the entire network is to ignore the data that it is generating. This can be applied like [p94]. The major chalenge in this case is the identification of the malfunctioning nodes.;P61,P94
FRTK4;Self Election;When pasSive replication is applied, the primary replica receives all requests and processes them. In order to maintain reliability between replicas, the state of the primary replica and the request infommation are transfemed to the backup replicas. Given the constraints of WSNs, applications should be designed to have only little or no state at all, which minimizes the overhead for transfering state infomation between nodes or eliminates it all together. Node selection: After it has been established that certain functionality is not available any longer due to failure in the primary replica, a new service provider must be selected. Afte. this selection phase, one or several nodes become service providers. Several approaches to how the selection is perfomed have been proposed and Self election is a approach. Self election: In LEACH [p78], nodes periodically execute a probabilistic algorithm to establish whether they should serve as cluster head to their neighbors. In this probabilistic rotation system, nodes keep changing their role in the network. When a cluster head node fails, it will take only one rotation period until another node starts providing the functionality of the failed or absent node.;P61
FRTK5;Group Election;When passive replication is applied, the primary replica receives all requests and processes them. In order to maintain reliability between replicas, the state of the primary replica and the request infomation are transfered to the backup replicas. Given the constraints of WSNs, applications should be designed to have only little or no state at all, which minimizes the overhead for transfering state information between nodes or eliminates it all together. Node selection: After it has been established that certain functionality is not available any longer due to failure in the primary replica, one or several nodes become service providers. Several approaches to how the selection is perfomed have been proposed and Group election is a approach. In [p95]. a reallocation of nodes that were part of a cluster that suffered a cluster head failure is Proposed. The cluster head, called gateway, is considered to be a resourceful node. The solution presented considers that all the gateways in the network maintain a list of the nodes that are curently in their cluster and another backup list of nodes that could become part of their cluster. When a gateway fails, the nodes from its cluster are reallocated to the other gateways that have the nodes in their backup lists. If more than one gateway has a specific node in its backup list the node is assigned to the cluster head that has the smallest communication cost. new service provider must be selected. After this selection phase,.;P61
FRTK6;Hierarchical Election;When pa5SIve replication is applied, the primary replica receives all requests and processes them. In order to maintain reliability between replicas, the state of the primary replica and the request infommation are transfered to the backup replicas. Given the constraints of WSNs, applications should be designed to have only little or no state at all, which minimizes the overhead for transfering state infomation between nodes or eliminates it all together. Node selection: After it has been established that certain functionality is not available any longer due to failure in the primary replica, a new service provider must be selected. After. this selection phase, one or several nodes become service providers. Several approaches to how the selection is performed have been proposed and Hierarchical election is a approach. Hierarchical election: In a hierarchical election, a coordinator selects the new primary node. This applies to the rebuilding ofrouting paths as well as the selection ofa new cluster head. The fomer describes an algorithm to select the node that is closest to the base station. The latter approach applies fuzzy logic in the base station to select which node will become a cluster head. This algorithm makes use of a fuzzy descriptor, the node concentration, energy level in each node and its centrality with respect to the entire cluster.;P61
FRTK7;Pre-Copy;When passive replication is applied, theprimary replica receives all requests and processes them. In order to maintain reliability between replicas, the state of the primary replica and the request information are transfered to the backup replicas. Given the constraints of WSNs, applications should be designed to have only little or no state at all, which minimizes the overhead for transfeming state information between nodes or eliminates it all together. Service Distribution: During this phase, nodes elected to become service providers must activate the service. In some cases the service is already available on the nodes and a simple configuration change to infom the node that this service should be activated is required. However in some cases, for instance when nodes do not have enough memory to store the code of all potential services, it is necessary to inject code into the node through some technique. There are different techniques that can be used for service distribution: completely reprogramming the node, sending entire blocks of executable code, or sending small pieces of code such as scripts. Pre-Copy: Pre-copying as described in [p96], consists in making the code of all services available on all nodes before deployment. This allows nodes to change their behavior according to the role that they are assigned to.;P61,P96
FRTK8;Code Distribution;When passive replication is applied, the primary replica receives all requests and processes them. In order to maintan reliability between Ieplicas, the state ot the primary replica and the request nfomation are transfered to the backup replicas. Given the constraints of WSNs, applications should be designed to have only little or no state at all, which minimizes the overhead for transfeming state infomation between nodes or eliminates it all together. Service Distribution: During this phase, nodes elected to become service providers must activate the service. In some cases the service is already available on the nodes and a simple configuration change to infom the node that this service should be activated is required. However in some cases, for instance when nodes do not have enough memory to store the code of all potential services, it is necessary to inject code into the node through some technique. Thereare different techniques that can be used for service distribution: completely reprogramming the node, sending entire blocks of executable code, or sending small pieces of code such as scripts Code distribution: Several approaches have been proposed for disseminating code throughout the network. The [p97] is an example for a byte code interpreter for Tiny OS where code is broken into capsules of 24 instructions, called MATE. These capsules can be distributed through the network and installed on nodes, which start to execute thenew code.;P61,P97
FRTK9;Remote Execution;When passive replication is applied, the primary replica receives all requests and processes them. In order to maintain reliability between replicas, the state of the primary replica and the request infommation are transfered to the backup replicas. Given the constraints of WSNs, applications should be designed to have only little or no state at all, which minimizes the overhead for transfering state infomation between nodes or eliminates it all together. Service Distribution: During this phase, nodes elected to become service providers must activate the service. In some cases the service is already available on the nodes and a simple configuration change to infom the node that this service should be activated is required. However in some cases, for instance when nodes do not have enough memory to store the code of all potential services, it is necessary to inject code into the node through some technique. There are different techniques that can be used for service distribution: completely reprogramming the node, sending entire blocks of executable code, or sending small pieces of code such as scripts. Remote Execution: On the one hand code migrations an approach that reduces the amount of memory required in the entire network since not all nodes need to have the application pre-installed, on the other hand it consumes energy on the nodes exchanging the code and is susceptible to link failures, which could cause long delays until the code update is completed. Remote Execution [p98] is an altemative approach where low power devices transfer tasks to more powerful devices without transfenming the entire application code. Instead, only the required state information is transmitted. Such an approach is especially suited for heterogeneous sensor networks with at least some resourceful nodes.;P61,P98
SOTK1;MATÉ Virtual Machine to WSN;Composed of tens of thousands of tiny devices with very limited resources (motes), sensor networks are subject to novel systems problems and constraints. The large number of motes in a sensor network means that there will often be some failing nodes, networks must be easy to repopulate. Often there is no feasible method to recharge motes, so energy is a precious resource. Once deployed, a network must be reprogrammable although physically unreachable, and this reprogramming can be a sign cant energy cost. The [p97] present Maté, a tiny communication-centric virtual machine designed for sensor networks. Maté is high-level interface allows complex programs to be very short (under 100 bytes), reducing the energy cost of transmitting new programs. Code is broken up into small capsules of 24 instructions, which can self- replicate through the network. Packet sending and reception capsules enable the deployment of ad-hoc routn and data a regation algorithms. Maté is concise, high-level program representation simplies programming and allovws large networks to be frequently re-programmed in an energy-eefficient manner, in addition, its safe execution environment suggests a use of virtual machines to provide the user/kemel boundary on motes that have no hardware protection mechanisms. Maté is a virtual machines designed to run on WSN motes. Virtual machines in WSN enable more flexible development and deployment of WSNs by allowing easy updates of software of the motes. The virtual machine.executing the code application softwarehave complete knowledge of the state ofthe application Also the virtual machines can modify the code of the application on execution. So if the virtual machine is smart enough it can adjust behavior of the applications when needed. With virtual machines it is also possible to do dynamically reconfigure the running application. Use of virtual machines are usually more costly on resources than use of native code, due the overheads in computation caused by the virtual machine.;P1,P97
SOTK2;SwissQM Virtual Machine to WSN;Sensor networks are increasingly being deployed for a wide variety of tasks. Today, in these networks, the development, deployment, and maintenance of applications are perfomed largely ad-hoc. Existing platforms help somewhat but also introduce implicit trade-offs. In one extreme, low level programming platfoms and languages make programming cumbersome and eror-prone. In the other extreme, declarative approaches greatly facilitate programming but restrict what can be done. In both cases, additional limitations include lack of support for concurency, difficulties in changing applications, and insufficient abstractions from low-level details. The [p99] presented SwissQM, a virtual machine designed to address all these limitations. SwissQM offers a platform-independent programming abstraction that is geared towards data acquisition and in-network data processing. SwissQMis a virtual machines designed to run on WSN motes. Virtual machines in WSN enable more flexible development and deployment of WSNs by allowing easy updates of software of the motes. The virtual machins.executing the code application softwarehave complete knowledge of the state of the application. Also the virtual machines can modify the code of the application on execution. So if the virtual machine is smart enough it can adjust behavior of the applications when needed. With virtual machines it is also possible to do dymamically reconfigure the running application. Use of virtual machines are usually more costly on resources than use of native code, due the overheads in computation caused by the virtual machinE;P1,P99
DTK1;Self-Diagnosis;The goal of fault detection is to verify that the services being provided are functioning properly, and in some cases to predict if they will continue to function properly in the near future. The simplest method is to perfom visual observation and manual removal of incorect values. This technique offers drawbacks, human interaction leads to errors, it has a high cost and it is not efficient. Hence automatic fault detection techniques for WSN used. Through self diagnosis the node itself can identify faults in its components. Self-Diagnosis: In many cases, nodes can identify possible failures by performing self diagnosis. In [pl00]. the authors propose an approach where a node would perfom a self-diagnosis based on the measurements of accelerometers to detemine if the node suffers from an impact that could lead to hardware malfunctions. Using a similar approach, nodes could detect when they are being moved to a different location. Another approach would be to keep track of the identities of the nodes in the neighborhood. A considerable change in the neighborhood could indicate that either the node itself or some of its previous neighbors have been moved. Faults caused by battery exhaustion can be predicted when the hardware allows the measurement of the current battery voltage [p101]. By analyzing the battery discharge curve and the curent discharge rate, an algornthm can determine an estimation of the time to death of the battery. Nodes can also identify that their curent connection to surrounding nodes is unreliable by probing the link connection therefore identifying that it is isolated.;P61,P100
DTK2;Group Detection;The goal of fault detection is to verify that the services being provided are functioning properly, and in some cases to predict if they will continue to function properly in thee near future. The simplest method is to perfom visual observation and manual removal of incorect values. This technique offers drawbacks, human interaction leads to erors, it has a high cost andit is not efficient. Hence automatic fault detection techniques for WSN used. With group detection, several nodes monitor the behavior of another node. Group Detection: The detection of services failing due to incorectly generated values is only possible ifa reference value is available. In [p102] a detection mechanism is proposed to identify faulty sensor nodes. Algorithm is based on the idea that sensors from the same region should have similar values unless a node is at the boundary of the event-region. The algorithm start by taking measurements of all neighbors of a node and uses the results to calculate the probability of the node being faulty. In [p103]. amisbehavior detection algorithm to aid the routing layer is proposed. The misbehavior detection mechanism is based on the idea of monitoring the communication of the service provider to verify whether messages are forwarded corectly. Focusing on providing a fault-tolerant approach for clusters in WSNs, in [p95] it is proposed to support the dymamic recovery of failed gateways. The proposed protocol assumes that a gateway has failed only when no other gateways can communicate withit. The fault detection mechanism is based on constant status updates being exchanged between gateways and further use of a consensus algorithm.;P61,P102,P103,P95
DTK3;Hierarchical Detection;The goal of fault detection is to verify that the services being provided are füunctioning properly, and in some cases to predict if they will continue to function properly in the near future. The simplest method is to perfom visual observation and manual removal of incorect values. This technique offers drawbacks, human interaction leads to erors, it has a high cost and it is not efficient. Hence automatic fault.detection techniques for WSN used. Hierarchical detection the fault detection is perfomed using a detection tree where a hierarchy is defined for the identification of failed nodes. Often in a hierarchical detection the detection is shifted to a more powerful device such as the sink Hierarchical Detection: In [104] was proposed the usage of the network topology to forward the fault detection results of child nodes to their parent nodes and finally to sink nodes. Every node forwards the condition of the child nodes that it is monitoring to their parent node. The parent node camies out an aggregation operation on the outcomes of the child nodes together with its own results and forwards it to the further process. The proposed approach scales well with the network size, but it consumes resources of the network. Shifting the fault detection job to a more powerful device is an altemative that can help to increase the lifetime of the WSN. In [p105]. was proposed an algorithm that puts the burden of detecting and tracing failed nodes to the base station. At first the nodes find out the network topology and send their part of the topology nfomation to the sink node. With this information the base station leams the complete network topology which is used to send route updates quickly as it detects that nodes become silent. This approach is not applicable to event-driven WSN because in such a network sensors only send messages when there is an event that should be reported, for instance when the temperature goes above In [p106]. was proposeda mechanism that uses a hierarchical network topology where cluster heads monitor ordinary nodes, and the base station monitors the cluster heads. To perfom the monitoring. the base station and the cluster heads constantly ping those nodes that still have battery power left and that are under their direct supervision. Ifa node does not respond, it is marked as failed. In [p107] was proposed a debugging tool that also utilizes the hierarchical detection approach. This tool instruments the WSN with monitoring software on the sensor nodes that generates metrics data that is forwarded to a centralized sink location for analysis. With this infomation consideration is able to detect faults and failures and identify the fault that generated the failure.;P61,P104,P105,P106,P107
DTK4;Intrusion Detection System;An intrusion detection system is a sottware tool used to detect unauthonzed access to a computer system or network. An intrusion detection system is capable of detecting all types of malicious network traffic and computer usage. This incudes network attacks against vulnerable services, data driven attacks on applications, host-based attacks-such as privilege escalation, unauthorized logins and access to sensitive files-and malware. An intrusion detection system is a dynamic monitoring entity that complements the static monitoring abilities ofa firewall. An intrusion detection system monitors traffic in a network in promiscuous mode, very much like a network sniffer. The network packets that are collected are analyzed for rule violations by a pattem recognition algorithm. When rule violations are detected, the intrusion detection system alerts the administrator. The [p89] show same types of IDS that can be used in IoT application. Bellow we can see the organization of a generalized intusion detection svstem More details in [p89];P3,P4,P67,P89
DTK5;DoS detection architecture for 6LoWPAN;Smart objects connected to the Intemet, constituting the so called Intemet of Things (loT), are revolutionizing human beings interaction with the world. As technology reaches everywhere, anyone can misuse it, and it is always essential to secure it. In [p6] was presented a denial-of-service (DoS) detection architecture for 6LoWPAN, the standard protocol designed by IETF as an adaptation layer for low-power lossy networks enabling low-power devices to communicate with the Intemet. The proposed architecture integrates an intrusion detection system (IDS) into the network framework developed within the EU FP7 project ebbits. The aim is to detect DoS attacks based on 6LoWPAN. More details in [p6].;P6
DTK6;SVELTE;In the Internet of Things (loT), resource-constrained things are connected to the unreliable and untrusted Intermet via IPvó and 6LoWPAN networks. Even when they are secured with encryption and authentication, these things are exposed both to wireless attacks from inside the 6LoWPAN network and from the Intemet. Since these attacks may succeed, Intrusion Detection Systems (TIDS) are necessary. Currently, there are no IDSs that meet the requirements of the IPv6-connected IoT since the available approaches are either customized for Wireless Sensor Networks (WSN) or for the conventional Intemet. In [p10] was designed, implemented, and evaluated a novel intrusion detection system for the IoT that is called SVELTE. It can detect routing attacks such as spoofed or altered infomation, sinkhole, and selective-forwarding. However, the approach can be extended to detect other attacks. More details in [p10];P10
DTK7;Intrusion Detection of Sinkhole Attacks in WSN;In [p33], is presented an Intrusion Detection System designed for wireless sensor networks and show how it can be configured to detect Sinkhole attacks. A Sinkhole attack foms a serious threat to sensor networks.;P33
DTK8;Sinkhole Attack Detection Mechanism;In [p34]. is proposed a detection scheme for sinkhole attacks in wireless sensor networks. Sinkhole attack makes flowing packets to pass through attacker. As a consequence, Sinkhole attack can be extended to various kinds of attacks. the[p34] analyzed sinkhole attack methods in the networks that use LQI based routing. It showed that the detection of sinkhole attack can be achieved by using a few detector nodes.;p34
DTK9;Protocol to detect Sybil Attacks;Vehicular ad hoc networks (VANETs) are being increasingly advocated for traffic control, accident avoidance, and management of parking lots and public areas. Security and privacy are two major concems in VANETs. Unfortunately, in VANETs, most privacy-preserving schemes are vulnerable to Sybil attacks, whereby a malicious user can pret end to be multiple (other) vehicles. In [p37], was presented a lightweight and scalable protocol to detect Sybil attacks. In this protocol, a malicious user pretending to be multiple (other) vehicles can be detected in a distributed manner through passive overhearing by set of fixed nodes called road-side boxes (RSBs). The detection of Sybil attacks in this manner does not require any vehicde in the network to disclose its identity, hence privacy is preserved at all times. More details in [p37].;P37
DTK10;Sybil Attack Detection in MANETs;Fully self-organized mobile ad hoc networks (MANETS) represent complex distributed systems that may also be part of a huge complex system, such as a complex system-of-systems used for crisis management operations. Due to the complex nature of MANETs and its resource constraint nodes, there has always been a need to develop lightweight security solutions. Since MANETs require a unique, distinct, and persistent identity per node in order for their security protocols to be viable, Sybil attacks pose a serious threat to such networks. A Sybil attacker can either create more than one identity on a single physical device in order to launch a coordinated attack on the network or can switch identities in order to weaken the detection process, thereby promoting lack of accountability in the network. In the [p40] is proposed a lightweight scheme to detect the new identities of Sybil attackers without using centralized trusted third party or any extra hardware, such as directional antennae or a geographical positioning system.;P40
DTK11;Anomaly Detection Systems;As advances in networking technology help to connect the distant comers of the globe and as the Intermet continues to expand its infuence as a medium for communications and commerce, the threat from spammers, attackers and criminal enterprises has also grown accordingly. It is the prevalence of such threats that has made intrusion detection systems the cyberspace's equivalent to the burglar alam-join ranks with firewalls as one of the fundamental technologies fornetwork security. However, today's commercially available intusion detection systems are predominantly signature- based intusion detection systems that are designed to detect known attacks by utilizing the signatures of those attacks. Such systems require frequent rule-base updates and signature updates, and are not capable of detecting unknown attacks. In contrast, anomaly detection systems, a subset of intrusion detection syst ems, model the nomal system/network behavior which enables them to be extremely effective in finding and foiling both known as well as unknown or "zero day" attacks. While anomaly detection systems are attractive conceptually, a host of technological problems need to be overcome before they can be widely adopted. These problems include: high false alam rate, failure to scale to gigabit speeds, etc. The [p89] provides technological trends in anomaly detection that can be used in IoT application.;P89
DTK12;CADE: Cumulative Acknowledgeme nt based Detection;Wireless sensor networks are networks consisting of nodes with sensors to monitor physical or environmental conditions. Since nodes in wireless sensor networks have limited transmission capabilities, packets are generally transmitted to the destination node through several immediate nodes. However, ifa malicious node is present on a route through which packets are forward ed, attackers can deliver selective forwarding attacks by simply dropping packets. Selective forwarding attacks can be serious threats on many applications including networks for military surveillance and health-care monitoring. Previous countemeasures to selective forwarding attacks cannot identify Malicious nodes or require time synchronization. The [p43] presents a detecting scheme which identifies malicious nodes delivering selective forwarding attacks without the need for time synchronization. The scheme also provides security against sinkhole attacks where attackers try to attract more trafficto malicious nodes.;P43
DTK13;Defensive technique for selective forwarding attack in localization;In selective forwarding attack, malicious nodes may refuse to forward certain messages and simply drop them, ensuring that they are not propagated any more. Similarly, in sensor localization, a malicious node may refuse to forward the location information or drops them, with confimation that they are not propagated further. In [p44]. is proposed a defensive technique for selective forwarding attack in localization. It consists of 3 phases for secure infomation delivery. First phase is secret sharing of infomation, secondly randomized propagation of each information share, and finally minhop routing towards the anchor nodes. Each time an infomation packet needs to be sent, the packet is broke into t shares according to threshold secret sharing algorithm. When the anchor nodes collect at least t shares, original packet are reconstructed. Through simulation results, it is shown that this is effective defensive technique for selective forwarding attack.;P44
DTK14;Detection using acknowledgmen ts for selective forwarding attack;In the [p45] is showed a scheme which uses a multi-hop acknowledgment scheme to launch alams by obtaining responses from intemediate nodes. Each node in the forwarding path is incharge of detecting malicious nodes.;P45
DTK15;Detection Scheme in Hetrogeneous Networks for selective forwarding attack;In the [p45] is showed a scheme to detect selective forwarding using a Heterogeneous Sensor Net work(HSN) model. The HSN consists of powerfül high-end sensors(H-sensors) and large number of low-end sensors(L-sensors). After deploying sensors, a cluster formation takes place with H-sensor as cluster head.;P45
DTK16;Detection Using Two hop Neighbourhood Infomation;Wireless sensor networks have many potential applications for both civil and military tasks. However, WSNs are susceptible to many types of attacks because they are deployed in open and unprotected environment. Selective forwarding attack is one of the easiest implement and damaged attacks in multi- hop routing protocols. In [p108], was proposed a lightweight detection algorithm based only on the neighborhood information. The detection algorithm can detect selective forwarding attack with high accuracy and little overhead imposed on detection modules than previous works. More details in p108;P45,P108
AAK1;Autonomic Architecture for IoT Gateway;With the advancement taking place in communication technologies., Intemet of Things (lol) is expected to play a major role in realizing smartness and functionality needed for applications such as Smart Homes and Electrical Smart Grids. However, in order to achieve that far reaching goal, select concepts of computing autonomy have to be suitably ported to Io T architecture. Recently reported works describe various frameworks, models and protocols for computing autonomy. Some others focus more on the practical Implementation of autonomy using self-star (self-) behavior in end nodes. The [p14] proposed an Autonomic architecture for IoT based on IBM's autonomic framework. In traditional wireless networks employed today for IoT, a Master Gateway Device (GWD), router or an access-point (AP), are commonly intertacing the wireless devices with the lntemet in a single-hop Configuration. The IoT Mobile Node Devices (MND) may either use IEEE 802.15.4 or IEEE 802.11 as their communication standard, but they still require a master gateway for establishing connection to other devices over the Internet. A single user is expected to own a multitude of these IoT devices, and deploy them for various sensing of data for monitoring purposes and sending instruction signals down the devices for þctuating purposes. The Iol devices are supposed to be highly heterogeneous in nature and have varying requirements and functionalities which tend to increase the complexity of the network. In this case, a network will be fomed when at-least one MND manages to register successtully with a GWD. A large number of MNDs registering to the network creates problem of scalability, especially when it comes to reconfiguration issues according to the network requirements. The design of the solution is thus to fulfill the self-configuration of the network components. A modular, object oriented design is more scalable and can be easily deployed, changed and improved. IBM's autonomic framework is highly modular, and consequently configuration management tends to achieve high levels of modularity needed in the extension of services exercises. The [p14] design follows the same objectives and a highly abstracted architectural framework is presented. Bellow we can see the overall component architecture and their dependencies. More details in [p14].;P14,P2
AAK2;Gateway System Architecture;In p82] was presented an intelligent architecture which consists ofa large number of sensing objects for monitoring purposes that can be used in IoT application. An embedded-based gateway for use in a monitoring system was proposed in an IoT network. The gateway is a critical component for collecting. recording and forwarding data obtained from sensors. Itjs programmable, low-cost, real-time and flexible. The software and hardware for wired and wireless communication interfaces are successful and suitable for field trials. More details in p82];P82
AAK3;Autonomic Computing IBM Framework;TBM p83J has introduced a framework of autonomic computing which is aimed to make the management of systems easier. The framework consists of two functionally important entities, namely, () Managed Resource and (2) Autonomic Manager. The managed resource is the less complex entity. In an lol setup, the managed resource is the end device, and comprises of sensors and effectors. Sensors are responsible to sense the environment and are merely data collectors. On the other hand, effectors are the interfaces that the device can use to manipulate the environment. The device thus provides access to the sensors and effectors through the 'manageability interface'. The autonomic manager is the highly complex entity and provides the central control and analysis. The functionality is broken down modularly in a control loop which is implemented by the autonomic manager component. As seen in the Figure bellow, the functioning of the control loop is divided into tour parts. The monitor part is responsible to colect details trom an element, to aggregate, filter, manage, and report all the data. The analyze part provides mechanisms modeling thus complex situations. This allows the autonomic manager to leam about the environment and predict füture situations. The plan module provides further mechanisms to guide the action with the help of policies, in order to achieve goals and objectives. Lastly, the.execute module controls execution of a pre-defined plans. More details in [p83].;P83
