IoTCriticalObjects;IoTThreatID;Name;Description;Reference;ResilientSolutionIDs
RSC DVC TAG SSR ATT ODRSC;NLTT23;SSDP Attack;The User Datagram Protocol (UDP) allows processes to send messages to each other with a minimum of protocol mechanics. Itis not a reliable protocol, the protocol is transaction oriented and does not guarantee delivery, duplicate protection or ordering. The Simple Service Discovery Protocol (SSDP) makes use of UDP as its underlying protocol. SSDP is a protocol often used in Universal Plug and Play (UPnP) devices. It provides a mechanism which can be used to discover devices, making use of multicast to send a HTTP UDP discovery request. When a device receives such a discovery request, it responds with an unicast UDP response. The standard port SSDP uses is port 1900. In an attack abusing SSDP, the Simple Object Access Protocol (SOAP) is used to deliver specifically created packets to UPnP devices, which elicits an response with amplified packets that can be reflected to the target.;P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT24;SYN Attack;ASYNHood is a TCP based attack. In this attack, the target device receives SYN packets from the attacker at a high packet rate, trying to initiate the TCP three-way handshake. The target device responds to these packets by sending SYN-ACK packets that needs to be answered with an ACK packet as explained above. The attacker does not answer the target host's SYN-ACK packet either by not responding with the required ACK packet, or by having sent the first SYN packet from a spoofed IP address. The target device will wait for the ACK packets to amive, allocating resources to these half-open connections, until no new connections can be made.;P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT25;UDP Floods Attack;In this attack, the attacker sends a large number of UDP packets to random ports at the target device. The device will respond by checking the application listening at that port. Upon finding no application listening at those ports, the target device responds with an ICMP Destination Unreachable packet. This process of receiving, checking and answering results in the target device being overwhelmed and unreachable.;P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT26;UDP Fragment Attack;This attack uses IP ragmentation to attack the target. IP tragmentation is a process where iP packets are broken down, sent across the network and reassembled at the receiver. In an UDP fragment attack, the attacker sends forged packets that have a big enough size to be fragmented and reassembled. As these packets are fake, the target device cannot reassemble them. This force the target device to allocate resources to try to reassemble these packets until the device is overloaded. Akamai states that some of the recorded fragmented UDP packets were the direct result of an amplification by other forms of DDoS attacks;P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT27;TCP Anomaly Attack;TCP makes use of Flags in its packets to indicate how the packet should be handled. The TCP anomaly attack counts are TCP floods that Akamai classified as using uncommon or anomalous TCP Flags. These are usually the result froma combination of coding emors and modifications aimed to use TCP packets in attacks. In most of the cases, the attacker makes use of a SYN Flood where the flags have been modified in such a way that the SYN flag is not the only flag set.;P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT28;RIP Attack;Kouting ntomation Protocol version I RIP) 1s a protocol to dynamically share route infomation on a small network quickly and easily. This protocol makes use of pot 520. RIP was introduced in 1988 and its Request For Comments (RFC) is now listed as a historic document, which means this protocol is deprecated. Using a list of known RIPvl routers on the intemet, attackers can craft a request query that is broadcasted as nomal. The attacker makes use ofa spoofed IP address, resulting in the response being sent to the target.;P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT29;RESET Attack;This attack is a TCP attack. As mentioned before, TCP makes use of flags to indicate how a packet should be handled. One of the flags is the "RST Flag. Setting this flag indicates that the connection must be teminated. In a RESET attack, the attacker takes over the connection between to hosts. The attacker then sends packets with the RST Flag set to one, or both, of the hosts. This teminates the connection between the two hosts, which is a denial of service.;P18;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT30;Physical Attacks;These attacks include using modified softwares for the purpose of fraud. The main breaches that occur due to these attacks are in integrity of data and M2M softwares.;P111;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT31;Attacks on Authentication Tokens;The threats include physical attacks as discussed above and side-channel attacks. The authentication tokens can also be cloned for malicious purposes.;P111;SPTK32 SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT32;Bandwith Degradation;Bandwidth degradation may eftect the information flow and prone to abuse of data.;P111;SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT33;False Data Attacks;False data [49] injection attacks are very powerful attacks against the state estimation in the power grid. In this case the hacker takes advantage of the configuration of a power system to launch malicious attacks by infusing wrong data to the monitoring center questioning data integrity.;P111;SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT34;Attacks on Privacy;Privacy of smart grid communication systems is important as it is the main concem and right of the consumers. Smart grid communications should take care of the privacy during communication in real time.;P111;SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT35;Threats From Bluetooth;Wireless devices show their existence and pemit unrequested connections and in case the end users do not know how to manage and configure their bluetooth settings properly.;;SPTK30 SPTK31 DTK4 DTK11
RSC DVC TAG SSR ATT ODRSC;NLTT36;Location Privacy And GPS;The location privacy of individuals can be sabotaged by the attackers by various attempts on the GPS feature provided in the smart-phone.;;SPTK30 SPTK31 DTK4 DTK11 SPTK19
RSC DVC TAG SSR ATT ODRSC;NLTT37;Threats Through WiFi;Attacker on a Smartphone can catch information during the communication between Smartphone and Wi-Fi hotspots. The main problem is extreme vulnerability of the Wi-Fi hotspot architecture where there is no enryption to protect transmitted data;;SPTK30 SPTK31 DTK4 DTK11 SPTK22
SVC RSC ODRSC;ALTT1;Responde Error;Response erors are caused by a service, which retums values outside of the expected boundaries by the caller. In such situations, components have to be able to validate a certain response and to appropriately handle the exceptions.;P69;SHTK2 SPTK30 SPTK31 DTK4 DTK11 (Others countemea sures: P69)
DVC;ALTT2;Flooding;The attacker can exhaust mportant resources like battery by sending the victim many connection establishment requests. Ad hoc layers have received some attention for mediating the flooding attack in p49]. Here, [p49] present an ad-hoc flooding attacks that aims to exhaust node resources and band- width. The coresponding proposed solution is able to recover bandwidth automatically and save resources but may not be able to stop the interference caused by the intruder broadcasting continuously. Flooding has been linked to hello flood based attack as they resemble in the methodology for attack Furthemore, this has not been dassified as a high risk attack as IoT end device will be rarely employing transport layer based advanced mechanisms of TCP. UDP instead is not highly vulnerable as connection is not established. IoT communication within transport layer is expected to be majorly connectionless. This attack on availability can be easily mitigated by setting traditional connection establishment bammers as a part of autonomic self-protection measures.;P15;SPTK30 SPTK31 DTK4 DTK11 SHTK2 (Other countermea sures: P49)
SVC ADA RSC NRSC ODRSC;ALTT3;Malware;This is an attack on confidentiality of infomation. Malware traditionally refers to the application of viruses, worms and Trojans to interfere with the system. Malware attacks have been included in this study as vulnerable mobile phones and other high end devices are also a part of the IoT. Malware may not affect the sensor based motes but significant risk may exist for sink s/gate-ways being represented as applications in the mobile phones. Bluetooth devices may be at risk more than the other technologies such as 802.15.4. Mitigation solutions incude constant vulnerability scans using malware pattem classification [p50] and risk mitigation services. The pattem classifīcation can be done using the autonomic control loop component of "Analysis following which the autonomic "execution" of the mitigation service can be perfommed.;P15,P60;SPTK30 SPTK31 DTK4 DTK11 SHTK2 (Other countermea sures: P15.p9.p50 p60)
DVC;ALTT4;Spoofing And Message Forgin;Spoofing occurs when an attacker successfully impersonates a node. A data transmission may be recorded from the node by someone with a suitably programmed portable reader. Duing re-transSmission it appears to be a valid node. However it is not to be mistaken for cloning, as there is no actual node involved, just a much bigger and powerful portable machine. Spoofing has been classified as a high level risk because of the method of the attack. Spoofing attack may not just be limited to the application layer, but can exist in all layers. Spoofing is an attack primarily on authentication, and impersonation of nodes defeats the principles of privacy as well [P51]. For IoT, research is needed to mitigate the spoofing attacks in an autonomic manner. Message forging, on the other hand is can attack where the adversary creates a new message or modifies an existing message to deliver different| content. n the speCific case of modification of synchronization messages, message forging can be considered as a form of the replay attack.;P15;SPTK30 SPTK31 DTK4 DTK11 SHTK2 (Other countemmea sures P15.p9,P51)
RSC DVC;ALTT5;Intersection;The intersection attack, also known as the composition attack is focused on defeating the privacy of the system by focusing on auxiliary infomation of a system. This infomation is gained from other channels such as web or third part public records. It targets the non linkability element of the privacy infomation model. An adversary makes use of anonymized data from different sources, and attempts to link them. Schemes such as by [p52] exist based on "k-anonymity" techniques to mitigate the effect of the intersection attack.;P15;SPTK30 SPTK31 DTK4 DTK11 SPTK17 SHTK2 (Other countemea sures: P52)
SVC ADA RSC NRSC ODRSC;ALTT6;Malicious Scripts;Usually the IoT network is connected to the Intemet. The user that controls the gateway can be fooled into running executable active-x scripts which could result in a complete system shut down or data theft.;P60;SPTK30 SPTK31 DTK4 DTK11 SHTK2 (Other countemea sures: p60)
SVC ADA RSC NRSC ODRSC;ALTT7;Denial of Service in Application Layer;An attacker can execute DoS or distributed denial of service DDoS attacks on the affected IoT network through the application layer, affecting all users in the network. This kind of attack can also block the legitimate users from the application layer giving full application layer access to the attacker, databases and private sensitive data.;P60;SPTK30 SPTK31 DTK4 DTK11 SHTK2 (Other countermea sures: p60)
SVC RSC ODRSC;ALTT8;Social Engineering;The attacker manipulates users of an lol system, to extract pnvate infomation or to pertom certain actions that would serve his goals. This kind of attack is put under the physical attacks category because the attacker needs to physically interact with the IoT network users to achieve his goals.;P60;SPTK30 SPTK31 DTK4 DTK11 (Other countemea sures: p60)
SVC ADA RSC ODRSC;ALTT9;Botnets;Botnet is fomed by attackers by contaminating multiple devices with malwares that victimize broadly through theee-mail attachments or from smart applications or malicious websites;P111;SPTK30 SPTK31 DTK4 DTK11
